# Catalogue des paramètres réellement mesurés par le contrôle sanitaire.
# Récolté le 2026-08-07 sur Hub'Eau qualite_eau_potable/resultats_dis,
# à partir des derniers bulletins complets (> 250 paramètres)
# de 8 commune(s) par département, départements 17,31,28,51.
# limite_declaree = limite_qualite_parametre telle que fournie par la source :
# c'est la grille D'AUJOURD'HUI, pas un seuil daté. Voir CLAUDE.md §2.5 et §2.7.
# Reproductible : python3 src/catalogue_parametres.py --depts 17,31,28,51 --communes 8
code_parametre;libelle_parametre;libelle_norm;code_cas;unite;limite_declaree;reference_declaree;nb_mesures;nb_bulletins;departements;variantes_libelle
2963;Tétrachloroéthylèn+Trichloroéthylène;tetrachloroethylen+trichloroethylene;;µg/L;<=10 µg/L;;25;25;17|28|31|51;
1272;Tétrachloroéthylène-1,1,2,2;tetrachloroethylene-1,1,2,2;127-18-4;µg/L;<=10 µg/L;;25;25;17|28|31|51;
1660;Tétraconazole;tetraconazole;112281-77-3;µg/L;<=0,1 µg/L;;25;25;17|28|31|51;
6488;pH d'équilibre à la t° échantillon;ph d'equilibre a la t echantillon;;unité pH;;;25;25;17|28|31|51;
7345;Bixafen;bixafen;581809-46-3;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1125;Bromoxynil;bromoxynil;1689-84-5;µg/L;<=0,1 µg/L;;24;24;17|31|51;
1841;Carbone organique total;carbone organique total;;mg(C)/L;;<=2 mg(C)/L;24;24;17|28|31|51;
7500;Chlorantraniliprole;chlorantraniliprole;500008-45-7;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1753;Chlorure de vinyl monomère;chlorure de vinyl monomere;75-01-4;µg/L;<=0.5 µg/L;;24;24;17|28|31|51;
2978;Clethodime;clethodime;99129-21-2;µg/L;<=0,1 µg/L;;24;24;28|31|51;
1147;DDT-2,4';ddt-2,4';789-02-6;µg/L;<=0,1 µg/L;;24;24;17|28|31|51;
1148;DDT-4,4';ddt-4,4';50-29-3;µg/L;<=0,1 µg/L;;24;24;17|28|31|51;
1149;Deltaméthrine;deltamethrine;52918-63-5;µg/L;<=0,1 µg/L;;24;24;17|28|31|51;
1173;Dieldrine;dieldrine;60-57-1;µg/L;<=0,03 µg/L;;24;24;17|28|31|51;
6393;Flonicamide;flonicamide;158062-67-0;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1940;Flufenacet;flufenacet;142459-58-3;µg/L;<=0,1 µg/L;;24;24;28|31|51;
1194;Flusilazol;flusilazol;85509-19-9;µg/L;<=0,1 µg/L;;24;24;28|31|51;
1911;Imazaméthabenz-méthyl;imazamethabenz-methyl;81405-85-8;µg/L;<=0,1 µg/L;;24;24;28|31|51;
1228;Monuron;monuron;150-68-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
6374;Nitrates/50 + Nitrites/3;nitrates/50 + nitrites/3;;mg/L;<=1 mg/L;;24;24;17|28|31|51;
6398;Propamocarbe;propamocarbe;24579-73-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1256;Propazine;propazine;139-40-2;µg/L;<=0,1 µg/L;;24;24;28|31|51;
2534;Prosulfuron;prosulfuron;94125-34-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1953;Tefluthrine;tefluthrine;79538-32-2;µg/L;<=0,1 µg/L;;24;24;17|28|31|51;
1713;Thiabendazole;thiabendazole;148-79-8;µg/L;<=0,1 µg/L;;24;24;28|31|51;
1281;Triallate;triallate;2303-17-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
7087;Tritosulfuron;tritosulfuron;142469-14-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
1661;Tébutam;tebutam;35256-85-0;µg/L;<=0,1 µg/L;;24;24;28|31|51;
2858;Zoxamide;zoxamide;156052-68-5;µg/L;<=0,1 µg/L;;24;24;17|28|51;
